type,description,students,name
会员,本次课程使用Sping4+struts2+hibernate5实现一个简单的在线考试系统。采用当下流行的注解建表映射方式，取代传统的hhibernate.cfg.xml和xxx.hbm.xml，将其整合到spring中。,262,SSH框架实现简单的在线考试系统
会员,在本课程中，你将了解如何利用 PySpark 及相关的 API 进行统计分析。最后用 SparkSQL 通过一个分析纽约市犯罪数据实例，进一步学习如何利用 Spark SQL 分析数据。本课程难度为一般，属于初级级别课程，适合具有 Spark 基础的用户，学习 Spark SQL 的基础知识。,72,使用 SparkSQL 分析纽约市犯罪数据
会员,本课程将介绍如何安装及使用 Floodlight 控制器，为将来介绍基于此控制器的 API 开发应用程序打下基础。,160,Floodlight 入门教程
会员,本课程利用Python模拟AI和玩家进行四子棋游戏，利用游戏实验Pygame库，为游戏提供界面和操作支持。AI算法借用蒙特卡洛搜索树思想。通过设置AI的难度系数，即AI所能考虑到的未来棋子的可能走向，从而选择出最佳的方案和玩家对抗。难度系数越大，AI搜索范围越广，它所能做出的决定越明智。,1081,人机对战初体验:Python基于Pygame实现四子棋游戏
会员,利用hawkes process对高频交易的订单流数据进行建模，观察不同订单之间的关系以及整体的动力学。,77,R语言对高频交易订单流进行建模分析
会员,"K-means 算法是集简单和经典于一身的基于距离的聚类算法，采用距离作为相似性的评价指标，即认为两个对象的距离越近，其相似度就越大。本节课主要讲解 K-means 算法，并给出个聚类足球比赛案例。

",265,Kmeans聚类算法评估足球比赛
会员,本课程将介绍如何用python解决数学题。 说到数学题，相信大家都不陌生，从小学到大学都跟数学打交道。 其中初中的方程组，高中的二次曲线，大学的微积分最为头疼，今天我们将使用python 来解决方程组问题，微积分问题，矩阵化简。,5086,使用 Python 解数学方程
free,"MyBatis 是支持定制化 SQL、存储过程以及高级映射的优秀的持久层框架。MyBatis 避免了几乎所有的 JDBC 代码和手动设置参数以及获取结果集。MyBatis 可以对配置和原生 Map 使用简单的 XML 或注解，将接口和 Java 的 POJOs(Plain Old Java Objects,普通的 Java对象)映射成数据库中的记录。本次课程详细介绍了 MyBatis 框架结构知识，并通过多个基础的 Demo 实例讲解了 MyBatis 的用法。",1272,MyBatis 框架基础入门
会员,"对初学者来说，cookie与session的工作机制是较难理解的知识点。express框架提供了session中间件express-session，实现了session机制。本课程学习开发一个接口与express-session相同的中间件exSession，从而透彻理解session的工作机制。
",76,实现express框架中的session中间件
会员,GARCH模型是对金融数据波动性进行描述的方法，为大量的金融序列提供了有效的分析方法，它是迄今为至最常用的、最便捷的异方差序列拟合模型。本次实验运用R语言利用上海证券综合指数进行GARCH模型的分析，包括计算股票指数的收益率，实现收益率的可视化 ，计算一些基本统计量，绘制股指收益率的ACF和PACF图，检验收益率序列的ARCH效应，估计GARCH模型以及标准化残差分析等。最终通过本次实验检验股票指数的GARCH效应，了解股票市场上的波动聚集效应。,54,R语言分析股票指数的GARCH效应
